,,,,,,,,,,,,,,,,,,,dealer,,,,,,,,,,,,,,
ACCOUNTING_TRANS_ID,TRANS_DATE,LOAN_ID,CORE_LOAN_ID,TRANS_TYPE,TRANS_DESC,ACCOUNT_CODE,PERIOD,CURR_CODE,OTHER_AMT,AMOUNT,D_C,JRNAL_TYPE,TREFERENCE,DESCRIPTN,DUE_DATE,ANAL01,ANAL02,ANAL03,ANAL04,ANAL05,ANAL06,ANAL07,ANAL08,ANAL09,ANAL10,CAMPAIGN_CODE,STATUS,CREATOR,CREATE_DATE,MODIFIER,MODIFY_DATE,APPROVAL,APPROVE_DATE
727,08DEC2020:00:00:00,2012051847,100235487,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,3393010001,122020,VND,818182,818182,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
728,08DEC2020:00:00:00,2012051865,100235489,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,3393010001,122020,VND,818182,818182,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
729,08DEC2020:00:00:00,2012051864,100235483,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,3393010001,122020,VND,540455,540455,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,FT2WZO,99,baont,09DEC2020:16:27:43,,,,
1007,14DEC2020:00:00:00,2012142496,100235689,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,3393010000,122020,VND,3000000,3000000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTSUB1,99,baont,15DEC2020:09:19:32,,,,
1008,14DEC2020:00:00:00,2012142446,100235679,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,1341020000,122020,VND,4800000,4800000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTZO7,99,baont,15DEC2020:09:19:32,,,,
1009,14DEC2020:00:00:00,2012142496,100235689,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,1341020000,122020,VND,3000000,3000000,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTSUB1,99,baont,15DEC2020:09:19:32,,,,
1010,14DEC2020:00:00:00,2012142446,100235679,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,4774080000,122020,VND,4800000,4800000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTZO7,99,baont,15DEC2020:09:19:32,,,,
1011,14DEC2020:00:00:00,2012142496,100235689,DISBURSE_SUBVENTION_POST,RECEIVE SUBVENTION,4774080000,122020,VND,3000000,3000000,C,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,25,FITIN,,,,,,,FTCDPOSTSUB1,99,baont,15DEC2020:09:19:32,,,,
1012,14DEC2020:00:00:00,2012142497,100235687,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774070001,122020,VND,1090909,1090909,D,LMSS,LMSS14122020,RECEIVE SUBVENTION,,970-000,FTCDZO,57,NK,,,,,,,FTCDPOSTZO1,99,baont,15DEC2020:09:19:32,,,,
701,08DEC2020:00:00:00,2012051858,100235495,DISBURSE_SUBVENTION,RECEIVE SUBVENTION,4774070000,122020,VND,4800000,4800000,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NPCDZO,38,ILA1,,,,,,,NPCDZO,99,baont,09DEC2020:16:27:43,,,,
